Menu,Category,괄호
굴해장국,한식,['(gul haejangguk)']
김치해장국,한식,['(kimchi haejangguk)']
꿩만둣국,한식,['(kkwong mandu guk)']
갈비장국,한식,['(galbi jangguk)']
갈치호박국,한식,['(galchi hobak guk)']
감자국,한식,['(gamja guk)']
곰국,한식,['(gomguk)']
갈비탕,한식,['(galbi tang)']
굴해물삼계탕,한식,['(gul haemul samgyetang)']
곰탕,한식,['(gomtang)']
꼬리곰탕,한식,['(kkori gomtang)']
감자탕,한식,['(gamjatang)']
계절매운탕,한식,['(gyejeol maeuntang)']
꽃게매운탕,한식,['(kkotge maeuntang)']
꽃게해물탕,한식,['(kkotge haemul tang)']
갈낙탕,한식,['(gal nak tang)']
굴탕,한식,['(gul tang)']
꽃게탕,한식,['(kkotge tang)']
꿩백숙,한식,['(kkwong baeksuk)']
계란탕,한식,['(gyeran tang)']
꿩탕,한식,['(kkwong tang)']
고추장 추어탕,한식,['(gochujang chueotang)']
길성이백숙,한식,['()']
고사리 서대탕,한식,['()']
곱창전골(돼지),한식,['()']
꼬탕,한식,['(kkotang)']
꼬깔탕,한식,['(kkokkaltang)']
계절탕,한식,['(gyejeol tang)']
곤드레다슬기해장국,한식,['(gondeure daseulgi haejangguk)']
곤드레된장찌개,한식,['(gondeure doenjang jjigae)']
곤드레등심해장국,한식,['(gondeure deungsim haejangguk)']
게살누룽지탕,한식,['(gesal nurungji tang)']
게탕,한식,['(ge tang)']
고양해신탕,한식,['(Goyang haesintang)']
감자만둣국,한식,['(gamja mandu guk)']
개성만두국,한식,['(Gaeseong mandu guk)']
개성삼계탕,한식,['(Gaeseong samgyetang)']
개성해장국,한식,['(Gaeseong haejangguk)']
감자누룽지탕,한식,['(gamja nurungji tang)']
갈비곰국,한식,['(galbi gomguk)']
갈비낙지매운탕,한식,['(galbi nakji maeuntang)']
갈비버섯육개장,한식,['(galbi beoseot yukgaejang)']
갈비우거지탕,한식,['(galbi ugeoji tang)']
갈비탕),한식,"['(1인분)', '(galbi tang (il in bun)']"
갈치국,한식,['(galchi guk)']
가리비국,한식,['(garibi guk)']
가리비미역국,한식,['(garibi miyeok guk)']
가시오가피추어탕,한식,['(gasiogapi chueo tang)']
꼬리탕,한식,['(kkori tang)']
꽃게탕면,한식,['(kkotge tangmyeon)']
꾹저구탕,한식,['(kkukjeogu tang)']
꿩만두국,한식,['(kkwong mandu guk)']
꿩손만두국,한식,['(kkwong son mandu guk)']
김치감자탕,한식,['(kimchi gamjatang)']
김치꽁치뚝배기,한식,['(kimchi kkongchi ttukbaegi)']
김치만두국,한식,['(kimchi mandu guk)']
김치손만두국,한식,['(kimchi son mandu guk)']
김치순두부국,한식,['(kimchi sundubu guk)']
김치콩나물국,한식,['(kimchi kongnamul guk)']
김칫국,한식,['(kimchi guk)']
광어매운탕,한식,['(gwangeo maeuntang)']
굴만두뚝배기,한식,['(gul mandu ttukbaegi)']
굴매생이국,한식,['(gul maesaengi guk)']
근대된장국,한식,['(geundae doenjang guk)']
곤드레소머리국밥,한식,['(gondeure so meori gukbap)']
곤드레순대국밥,한식,['(gondeure sundae gukbap)']
곤드레육개장,한식,['(gondeure yukgaejang)']
곤드레토장국,한식,['(gondeure tojangguk)']
곤드레해장국,한식,['(gondeure haejangguk)']
곤이내장탕,한식,['(goni naejang tang)']
곤이해물뚝배기,한식,['(goni haemul ttukbaegi)']
곤지암소머리국밥,한식,['(Gonjiam so meori gukbap)']
골뱅이탕,한식,['(golbaengi tang)']
골뱅이해장국,한식,['(golbaengi haejangguk)']
곰치탕,한식,['(gomchi tang)']
곰치해장국,한식,['(gomchi haejangguk)']
곰칫국,한식,['(gomchi guk)']
곱창우거지탕,한식,['(gopchang ugeoji tang)']
고추짬뽕탕,한식,['(gochu jjamppong tang)']
곤드레갈비탕,한식,['(gondeure galbi tang)']
곤드레감자탕,한식,['(gondeure gamjatang)']
김치찌개,한식,['(kimchi jjigae)']
꽃게된장찌개,한식,['(kkotge doenjang jjigae)']
가마솥순두부,한식,['(gamasot sundubu)']
굴순두부,한식,['(gul sundubu)']
김치순두부,한식,['(kimchi sundubu)']
갈비찌개,한식,['(galbi jjigae)']
김치갈비찌개,한식,['(kimchi galbi jjigae)']
김치돼지찌개,한식,['(kimchi dwaeji jjigae)']
곱창찌개,한식,['(gopchang jjigae)']
가자미찌개,한식,['(gajami jjigae)']
갈치찌개,한식,['(galchi jjigae)']
국산콩된장뚝배기,한식,['(guksan kong doenjang ttukbaegi)']
김치부대찌개,한식,['(kimchi budae jjigae)']
갈비김치찌개,한식,['(galbi kimchi jjigae)']
꼬막된장찌개,한식,['(kkomak doenjang jjigae)']
꽁치김치찌개,한식,['(kkongchi kimchi jjigae)']
굴순두부찌개,한식,['(gul sundubu jjigae)']
고추장얼큰찌개,한식,['(gochujang eolkeun jjigae)']
고추장찌개,한식,['(gochujang jjigae)']
갈비김치전골,한식,['(galbi kimchi jeongol)']
김치전골,한식,['(kimchi jeongol)']
김치아귀전골,한식,['(kimchi agwi jeongol)']
김치참치전골,한식,['(kimchi chamchi jeongol)']
김치고기전골,한식,['(kimchi gogi jeongol)']
김치냄비전골,한식,['(kimchi naembi jeongol)']
갈비전골,한식,['(galbi jeongol)']
갈비된장전골,한식,['(galbi doenjang jeongol)']
굴전골,한식,['(gul jeongol)']
꿩만두전골,한식,['(kkwong mandu jeongol)']
고기철판전골,한식,['(gogi cheolpan jeongol)']
곱창전골,한식,['(gopchang jeongol)']
궁중전골,한식,['(gungjung jeongol)']
꼬리전골,한식,['(kkori jeongol)']
갈낙전골,한식,['(gal nak jeongol)']
굴낙전골,한식,['(gul nak jeongol)']
국수전골,한식,['(guksu jeongol)']
궁중신선로,한식,['(gungjung sinseollo)']
간장 닭불고기,한식,['(ganjang dak bulgogi)']
고추장 닭불고기,한식,['(gochujang dak bulgogi)']
구기자갈비전골,한식,['(gugija galbi jeongol)']
고등어묵은지전골,한식,['(godeungeo mugeunji jeongol)']
감자탕전골,한식,['(gamjatang jeongol)']
갈비버섯육개장전골,한식,['(galbi beoseot yukgaejang jeongol)']
김치두부전골,한식,['(kimchi dubu jeongol)']
김치만두전골,한식,['(kimchi mandu jeongol)']
국내산돼지김치전골,한식,['(gungnaesan dwaeji kimchi jeongol)']
구기자대하찜,한식,['(gugija daeha jjim)']
김치찜,한식,['(kimchi jjim)']
고등어김치찜,한식,['(godeungeo kimchi jjim)']
김치삼겹살찜,한식,['(kimchi samgyeopsal jjim)']
고등어묵은지찜,한식,['(godeungeo mugeunji jjim)']
고기찜,한식,['(gogi jjim)']
꽃게찜,한식,['(kkotge jjim)']
광어찜,한식,['(gwangeo jjim)']
광어파생강찜,한식,['(gwangeo pa saenggang jjim)']
꼬리찜,한식,['(kkori jjim)']
굴찜,한식,['(gul jjim)']
고기야채찜,한식,['(gogi yachae jjim)']
가재찜,한식,['(gajae jjim)']
건복찜,한식,['(geonbok jjim)']
계란찜,한식,['(gyeran jjim)']
가리비찜,한식,['(garibi jjim)']
갑오징어마늘찜,한식,['(gabojingeo maneul jjim)']
갈비찜,한식,['(galbi jjim)']
꼬리수육,한식,['(kkori suyuk)']
가오리찜,한식,['(gaori jjim)']
간장찜닭,한식,['(ganjang jjimdak)']
고기수육,한식,['(gogi suyuk)']
개성족발,한식,['(Gaeseong jokbal)']
갈비해물찜,한식,['(galbi haemul jjim)']
